ID,Title,Year,Rating,Director,Actors,Genres
tt0150718,Gharaonda,1977,7.1,Bhimsain,"['Amol Palekar', 'Zarina Wahab', 'Sadhu Meher']","['Drama', 'Romance']"
tt1764728,Vaddu Bava Tappu,1993,6.3,,"['Rajendra Prasad', 'Ravali', 'Indraja']","['Comedy', 'Romance']"
tt0373982,Kora Anchal,1973,,,"['Birbal', 'Laxmi Chhaya', 'Dheeraj Kumar']","['Drama', 'Romance']"
tt5057456,Episode #8.5,2015,,,"['Asim Azhar', 'Ali Azmat', 'Aafi Bakhshi']",['Music']
tt6414274,Jeeva Sakha,1992,,Ramesh Deo,"['Madhu Apte', 'Laxmikant Berde', 'Ajinkya Deo']",['Drama']
tt0237587,Poonam,1981,5.2,Harmesh Malhotra,"['Poonam Dhillon', 'Raj Babbar', 'Shakti Kapoor']",['Drama']
tt0152278,Sanam,1997,5.0,Aziz Sejawal,"['Sanjay Dutt', 'Vivek Mushran', 'Manisha Koirala']","['Action', 'Drama', 'Romance']"
tt0363795,Mandira,1990,7.8,Sujit Guha,"['Prasenjit Chatterjee', 'Sonam', 'Chunky Pandey']","['Drama', 'Romance']"
tt13188574,Mahaveera Machideva,2016,,Nanda Kameshwara Reddy,"['Charulatha', 'Sai Kumar', 'B.C. Patil']",['Drama']
tt3763980,Karaka Kasadara,2005,3.2,,"['Raai Laxmi', 'Jack Rajasekar', 'Vikranth']",['Drama']
tt0213900,Mugguru Ammyilu,1974,,Kolli Pratyagatma,,
tt8982732,Rajavin Paarvai Raniyin Pakkam,2018,,Azhagu Raja,"['Aadhava', 'Adhavaa', 'Mohan Avanthika']",['Drama']
tt0233279,Bade Ghar Ki Bahu,1960,,Kundan Kumar,"['Geeta Bali', 'Kuldip Kaur', 'Shammi']","['Drama', 'Family', 'Musical']"
tt10168882,Avidathepole Ivideyum,1985,7.2,K.S. Sethumadhavan,"['Mohanlal', 'Mammootty', 'Shobana']","['Drama', 'Family']"
tt13057404,Pokkiri Mannan,2015,,Ragomadhesh,"['Mayilsamy', 'Singampuli', 'Sridhar']",['Drama']
tt5144196,Coma,2015,,Mayur Dhamapurkar,,['Drama']
tt14085364,Simhadri,2014,,Shivamani,"['Shankanada Anjanappa', 'Jai Jagadish', 'Soundarya Jayamala']",['Drama']
tt7412248,Sangeetha Lakshmi,1966,,G. Suryam,"['N.T. Rama Rao', 'Jamuna', 'Nagabhushanam']",['Drama']
tt4882578,Nasheeli Naukrani,2005,,,,['Thriller']
tt2009521,Mawali No.1,2002,3.9,Leela Prasad,"['Sadashiv Amrapurkar', 'Ranjeet Bedi', 'Mithun Chakraborty']",['Action']
tt0238591,Sham Ghansham,1998,3.7,Ashok Ghai,"['Rakhee Gulzar', 'Chandrachur Singh', 'Arbaaz Khan']","['Action', 'Drama']"
tt8816512,Preminche rojullo,2009,,Vishwa Prasad,"['Kirti', 'Nandu Vijay Krishna']",['Drama']
tt5368742,Tok Jhaal Mishti,2005,6.4,Debashish Biswas,"['Riaz', 'Purnima', 'A.T.M. Shamsuzzaman']",['Comedy']
tt0362044,Prem Sanghat,1994,7.7,Santanu Bhowmick,,['Musical']
tt0311401,Kissaa Kursee Kaa,1978,7.8,Amrit Nahata,"['Shabana Azmi', 'Raj Babbar', 'Chaman Bagga']","['Comedy', 'Drama', 'Fantasy', 'Musical']"
tt12331044,ShobBahika,2018,,Rajaditya Banerjee,"['Rajaditya Banerjee', 'Raju Majumdar']",['Drama']
