ID,Title,Year,Rating,Director,Actors,Genres
tt0364733,Veedevadandi Babu,1997,6.0,E.V.V. Satyanarayana,"['Mohan Babu', 'Shilpa Shetty Kundra', 'Tanikella Bharani']",['Comedy']
tt8272296,A Mayalu Timi Lai,2018,,,,"['Short', 'Music']"
tt5684550,Da Tang Xuan Zang,2016,6.1,Jianqi Huo,"['Xiaoming Huang', 'Zheng Xu', 'Purba Rgyal']","['Biography', 'History']"
tt0250733,Sikandar,1976,,Sai Paranjape,"['Veeni Paranjape Joglekar', 'Kulbhushan Kharbanda', 'Manorama Wagle']",
tt1407272,Pehla Qadam,1958,,Asghar Tharani,"['Mohammad Hanif Azad', 'Haroon', 'Naina']",
tt0318983,Amman Koil Kizhakkaalae,1986,7.1,R. Sundarajan,"['T.K.S. Chandran', 'Nalinikanth', 'Radha']",['Drama']
tt3148392,Shatru,2013,4.9,Jagadish Kumar,"['Prem Kumar', 'Dimple Chopda', 'B.S. Anand']","['Action', 'Thriller']"
tt7836398,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,,Simpal Kharel,"['Gookul Humagain', 'Rajendra Humagain', 'Ram Prasad Humagain']",['Music']
tt0376353,Zinda Jala Doonga,1988,,,,['Action']
tt2302945,Tukaram,2012,7.7,Chandrakant Kulkarni,"['Jitendra Joshi', 'Radhika Apte', 'Vrishasen Dabholkar']","['Biography', 'Drama', 'History']"
tt0065764,Geet,1970,7.0,Ramanand Sagar,"['Rajendra Kumar Tuli', 'Mala Sinha', 'Nasir Hussain']","['Action', 'Crime', 'Musical', 'Romance']"
tt2707908,Sej Piya Ki,1985,,,"['Sudhir Dalvi', 'Ashwini Khosla', 'Neelam Mehra']",['Drama']
tt3509698,Sati Sita Luv Kush,1981,,,"['T.N. Balakrishna', 'Ram Chandra', 'Jaganath']",['Drama']
tt1575647,Nuvvu Vasthavani,2000,6.5,V.R. Pratap,"['Nagarjuna Akkineni', 'Simran', 'Mohammad Ali']","['Family', 'Romance']"
tt0357879,Madadgaar,1987,5.2,Ramesh Puri,"['Jeetendra', 'Sulakshana Pandit', 'Aruna Irani']","['Action', 'Crime', 'Drama', 'Romance']"
tt1827428,Hamra Se Biyah Karba,2003,,Braj Bhushan,"['Ravi Kishan', 'Pratibha Pandey', 'Singh Kunal']",['Drama']
tt0351354,Milan Ki Raat,1967,4.4,R. Bhattacharya,"['Sharmila Tagore', 'Sanjay Khan', 'Prakash']","['Drama', 'Romance']"
tt0213519,Bhool Bhulaiyan,1933,6.0,Jayant Desai,"['Ghori', 'Dixit', 'Kamlabai Gokhale']",['Comedy']
tt0246905,Saajan Chale Sasural,1996,5.9,David Dhawan,"['Govinda', 'Karisma Kapoor', 'Tabu']","['Comedy', 'Drama']"
tt1582519,Khaleja,2010,7.6,Trivikram Srinivas,"['Mahesh Babu', 'Anushka Shetty', 'Prakash Raj']","['Action', 'Comedy', 'Fantasy']"
tt6517874,Ramante Edenthottam,2017,5.9,Ranjith Sankar,"['Kunchacko Boban', 'Anu Sithara', 'Joju George']","['Comedy', 'Drama', 'Romance']"
tt0150519,Faslah,1974,5.6,Khwaja Ahmad Abbas,"['Raman Khanna', 'Shabana Azmi', 'Nadira']","['Crime', 'Drama', 'Romance']"
tt4820566,Jawani Ki Ghabrahat,1991,,,,['Thriller']
tt0318296,Anbu Chinnam,1990,,,,
